"name.long","name.short","name.gen","district","type","adres"
"ulica Stanisława Szobera","ul. S. Szobera","ulicy Stanisława Szobera","Bemowo","ulica","S. Szobera"
"ulica Szoferska","ul. Szoferska","ulicy Szoferskiej","Wawer","ulica","Szoferska"
"ulica Stefana Szolc-Rogozińskiego","ul. S. Szolc-Rogozińskiego","ulicy Stefana Szolc-Rogozińskiego","Ursynów","ulica","S. Szolc-Rogozińskiego"
"ulica Andrzeja Szomańskiego","ul. A. Szomańskiego","ulicy Andrzeja Szomańskiego","Ursus","ulica","A. Szomańskiego"
"ulica Szosowa","ul. Szosowa","ulicy Szosowej","Wesoła","ulica","Szosowa"
"ulica Szpacza","ul. Szpacza","ulicy Szpaczej","Wawer","ulica","Szpacza"
"ulica Szparagowa","ul. Szparagowa","ulicy Szparagowej","Wawer","ulica","Szparagowa"
"Aleja Szpitala Ujazdowskiego","al. Szpitala Ujazdowskiego","Alei Szpitala Ujazdowskiego","Śródmieście","Aleja","al. Szpitala Ujazdowskiego"
"ulica Szpitalna","ul. Szpitalna","ulicy Szpitalnej","Śródmieście","ulica","Szpitalna"
"ulica Kazimierza Szpotańskiego","ul. K. Szpotańskiego","ulicy Kazimierza Szpotańskiego","Wawer","ulica","K. Szpotańskiego"
"ulica Szprotawska","ul. Szprotawska","ulicy Szprotawskiej","Targówek","ulica","Szprotawska"
"ulica Szreniawska","ul. Szreniawska","ulicy Szreniawskiej","Wawer","ulica","Szreniawska"
"ulica Sztabowa","ul. Sztabowa","ulicy Sztabowej","Praga-Południe","ulica","Sztabowa"
"ulica Sztajerka","ul. Sztajerka","ulicy Sztajerka","Ursynów","ulica","Sztajerka"
"Aleja Sztandarów","al. Sztandarów","Alei Sztandarów","Rembertów","Aleja","al. Sztandarów"
"ulica Sztormowa","ul. Sztormowa","ulicy Sztormowej","Mokotów","ulica","Sztormowa"
"ulica Sztuk Pięknych","ul. Sztuk Pięknych","ulicy Sztuk Pięknych","Wola","ulica","Sztuk Pięknych"
"ulica Sztukatorska","ul. Sztukatorska","ulicy Sztukatorskiej","Rembertów","ulica","Sztukatorska"
"ulica ks. Jana Sztuki","ul. ks. J. Sztuki","ulicy ks. Jana Sztuki","Praga-Południe","ulica","ks. J. Sztuki"
"ulica Sztumska","ul. Sztumska","ulicy Sztumskiej","Wawer","ulica","Sztumska"
"ulica Szturmowa","ul. Szturmowa","ulicy Szturmowej","Mokotów","ulica","Szturmowa"
"ulica Sztygarów","ul. Sztygarów","ulicy Sztygarów","Wawer","ulica","Sztygarów"
"ulica Franciszka Szuberta","ul. F. Szuberta","ulicy Franciszka Szuberta","Włochy","ulica","F. Szuberta"
"ulica Szubińska","ul. Szubińska","ulicy Szubińskiej","Bielany","ulica","Szubińska"
"Aleja Jana Chrystiana Szucha","al. J. Ch. Szucha","Alei Jana Chrystiana Szucha","Śródmieście","Aleja","al. J. Ch. Szucha"
"ulica Józefa Szujskiego","ul. J. Szujskiego","ulicy Józefa Szujskiego","Ochota","ulica","J. Szujskiego"
"ulica Szulborska","ul. Szulborska","ulicy Szulborskiej","Wola","ulica","Szulborska"
"ulica ks. Sylwestra Szulczyka","ul. ks. S. Szulczyka","ulicy ks. Sylwestra Szulczyka","Wawer","ulica","ks. S. Szulczyka"
"ulica Szumiąca","ul. Szumiąca","ulicy Szumiącej","Ursynów","ulica","Szumiąca"
"ulica Szumiących Traw","ul. Szumiących Traw","ulicy Szumiących Traw","Białołęka","ulica","Szumiących Traw"
"ulica Szumna","ul. Szumna","ulicy Szumnej","Wawer","ulica","Szumna"
"ulica Szuwary","ul. Szuwary","ulicy Szuwary","Mokotów","ulica","Szuwary"
"ulica Eugeniusza Szwankowskiego","ul. E. Szwankowskiego","ulicy Eugeniusza Szwankowskiego","Bemowo","ulica","E. Szwankowskiego"
"Rondo Haliny Szwarc","Rondo H. Szwarc","Ronda Haliny Szwarc","Bielany","Rondo","Rondo H. Szwarc"
"ulica Szwedzka","ul. Szwedzka","ulicy Szwedzkiej","Praga-Północ","ulica","Szwedzka"
"ulica Szwoleżerów","ul. Szwoleżerów","ulicy Szwoleżerów","Śródmieście","ulica","Szwoleżerów"
"ulica Szybka","ul. Szybka","ulicy Szybkiej","Ochota,Włochy","ulica","Szybka"
"ulica Szybowcowa","ul. Szybowcowa","ulicy Szybowcowej","Włochy","ulica","Szybowcowa"
"ulica Szydłowiecka","ul. Szydłowiecka","ulicy Szydłowieckiej","Białołęka","ulica","Szydłowiecka"
"ulica Szymanowska","ul. Szymanowska","ulicy Szymanowskiej","Śródmieście","ulica","Szymanowska"
"ulica Karola Szymanowskiego","ul. K. Szymanowskiego","ulicy Karola Szymanowskiego","Praga-Północ","ulica","K. Szymanowskiego"
"ulica Edwarda Szymańskiego","ul. E. Szymańskiego","ulicy Edwarda Szymańskiego","Wola","ulica","E. Szymańskiego"
"ulica Józefa Szymańskiego","ul. J. Szymańskiego","ulicy Józefa Szymańskiego","Rembertów","ulica","J. Szymańskiego"
"ulica Szymbarska","ul. Szymbarska","ulicy Szymbarskiej","Wawer","ulica","Szymbarska"
"ulica Jana Szymczaka","ul. J. Szymczaka","ulicy Jana Szymczaka","Wola","ulica","J. Szymczaka"
"ulica Szynowa","ul. Szynowa","ulicy Szynowej","Białołęka","ulica","Szynowa"
"ulica Szyprów","ul. Szyprów","ulicy Szyprów","Mokotów","ulica","Szyprów"
"ulica Szyszaków","ul. Szyszaków","ulicy Szyszaków","Rembertów","ulica","Szyszaków"
"ulica Szyszkowa","ul. Szyszkowa","ulicy Szyszkowej","Włochy","ulica","Szyszkowa"
"ulica Sławińska","ul. Sławińska","ulicy Sławińskiej","Wola","ulica","Sławińska"
"ulica Walerego Sławka","ul. W. Sławka","ulicy Walerego Sławka","Ursus","ulica","W. Sławka"
"ulica Sławkowska","ul. Sławkowska","ulicy Sławkowskiej","Mokotów","ulica","Sławkowska"
"ulica Słodka","ul. Słodka","ulicy Słodkiej","Białołęka","ulica","Słodka"
"stacja metra Słodowiec","stacja metra Słodowiec","stacji metra Słodowiec","Bielany","stacja metra","stacja metra Słodowiec"
"ulica Słodowiec","ul. Słodowiec","ulicy Słodowiec","Bielany","ulica","Słodowiec"
"ulica Słodowiecka","ul. Słodowiecka","ulicy Słodowieckiej","Wola","ulica","Słodowiecka"
"ulica Słomiana","ul. Słomiana","ulicy Słomianej","Bemowo","ulica","Słomiana"
"ulica Zygmunta Słomińskiego","ul. Z. Słomińskiego","ulicy Zygmunta Słomińskiego","Śródmieście","ulica","Z. Słomińskiego"
"ulica Słoneczna","ul. Słoneczna","ulicy Słonecznej","Mokotów","ulica","Słoneczna"
"ulica Słoneczna","ul. Słoneczna","ulicy Słonecznej","Wesoła","ulica","Słoneczna"
"ulica Słonecznego Poranka","ul. Słonecznego Poranka","ulicy Słonecznego Poranka","Białołęka","ulica","Słonecznego Poranka"
"ulica Słonecznej Polany","ul. Słonecznej Polany","ulicy Słonecznej Polany","Wesoła","ulica","Słonecznej Polany"
"ulica Słonecznikowa","ul. Słonecznikowa","ulicy Słonecznikowej","Bielany","ulica","Słonecznikowa"
"Plac Słoneczny","pl. Słoneczny","Placu Słonecznego","Żoliborz","Plac","pl. Słoneczny"
"Skwer Antoniego Słonimskiego","Skwer A. Słonimskiego","Skweru Antoniego Słonimskiego","Mokotów","Skwer","Skwer A. Słonimskiego"
"ulica Słonki","ul. Słonki","ulicy Słonki","Ursynów","ulica","Słonki"
"ulica Słotna","ul. Słotna","ulicy Słotnej","Wawer","ulica","Słotna"
"ulica Juliusza Słowackiego","ul. J. Słowackiego","ulicy Juliusza Słowackiego","Żoliborz,Bielany","ulica","J. Słowackiego"
"ulica Juliusza Słowackiego","ul. J. Słowackiego","ulicy Juliusza Słowackiego","Wesoła","ulica","J. Słowackiego"
"Skwer Słoweński","Skwer Słoweński","Skweru Słoweńskiego","Mokotów","Skwer","Skwer Słoweński"
"Aleja Słowiańska","al. Słowiańska","Alei Słowiańskiej","Bielany","Aleja","al. Słowiańska"
"ulica Słowicza","ul. Słowicza","ulicy Słowiczej","Włochy","ulica","Słowicza"
"ulica Słowicza","ul. Słowicza","ulicy Słowiczej","Wesoła","ulica","Słowicza"
"ulica Słubicka","ul. Słubicka","ulicy Słubickiej","Targówek","ulica","Słubicka"
"ulica Słupecka","ul. Słupecka","ulicy Słupeckiej","Ochota","ulica","Słupecka"
"ulica Słupska","ul. Słupska","ulicy Słupskiej","Ursus","ulica","Słupska"
"ulica Służby Polsce","ul. Służby Polsce","ulicy Służby Polsce","Ursynów","ulica","Służby Polsce"
"stacja metra Służew","stacja metra Służew","stacji metra Służew","Mokotów","stacja metra","stacja metra Służew"
"ulica Służewska","ul. Służewska","ulicy Służewskiej","Śródmieście","ulica","Służewska"
"ulica Sąchocka","ul. Sąchocka","ulicy Sąchockiej","Ochota","ulica","Sąchocka"
"ulica Sągi","ul. Sągi","ulicy Sągi","Wilanów","ulica","Sągi"
"ulica Sąsiedzka","ul. Sąsiedzka","ulicy Sąsiedzkiej","Białołęka","ulica","Sąsiedzka"
"ulica Sążnista","ul. Sążnista","ulicy Sążnistej","Wilanów","ulica","Sążnista"
"ulica Sęczkowa","ul. Sęczkowa","ulicy Sęczkowej","Wawer","ulica","Sęczkowa"
"ulica Sędziowska","ul. Sędziowska","ulicy Sędziowskiej","Ochota","ulica","Sędziowska"
"ulica Sękocińska","ul. Sękocińska","ulicy Sękocińskiej","Ochota","ulica","Sękocińska"
"ulica Mikołaja Sępa-Szarzyńskiego","ul. M. Sępa-Szarzyńskiego","ulicy Mikołaja Sępa-Szarzyńskiego","Ursynów","ulica","M. Sępa-Szarzyńskiego"
"ulica Sępia","ul. Sępia","ulicy Sępiej","Wawer","ulica","Sępia"
"ulica Sójki","ul. Sójki","ulicy Sójki","Ursynów","ulica","Sójki"
"ulica Taborowa","ul. Taborowa","ulicy Taborowej","Ursynów","ulica","Taborowa"
"ulica Tadżycka","ul. Tadżycka","ulicy Tadżyckiej","Wawer","ulica","Tadżycka"
"ulica Rabindranatha Tagore","ul. R. Tagore","ulicy Rabindranatha Tagore","Mokotów","ulica","R. Tagore"
"ulica Talarowa","ul. Talarowa","ulicy Talarowej","Białołęka","ulica","Talarowa"
"ulica Tamaryszków","ul. Tamaryszków","ulicy Tamaryszków","Wawer","ulica","Tamaryszków"
"ulica Tamka","ul. Tamka","ulicy Tamka","Śródmieście","ulica","Tamka"
"ulica Taneczna","ul. Taneczna","ulicy Tanecznej","Ursynów","ulica","Taneczna"
"ulica Tango","ul. Tango","ulicy Tango","Ursynów","ulica","Tango"
"ulica Tapetowa","ul. Tapetowa","ulicy Tapetowej","Białołęka","ulica","Tapetowa"
"ulica Tapicerska","ul. Tapicerska","ulicy Tapicerskiej","Włochy","ulica","Tapicerska"
"ulica Tarasowa","ul. Tarasowa","ulicy Tarasowej","Białołęka","ulica","Tarasowa"
"ulica Tarchomińska","ul. Tarchomińska","ulicy Tarchomińskiej","Praga-Północ","ulica","Tarchomińska"
"ulica Tarczowa","ul. Tarczowa","ulicy Tarczowej","Praga-Południe","ulica","Tarczowa"
"ulica Tarczyńska","ul. Tarczyńska","ulicy Tarczyńskiej","Ochota","ulica","Tarczyńska"
"ulica Targowa","ul. Targowa","ulicy Targowej","Praga-Południe,Praga-Północ","ulica","Targowa"
"ulica Tarniny","ul. Tarniny","ulicy Tarniny","Mokotów","ulica","Tarniny"
"ulica Tarnobrzeska","ul. Tarnobrzeska","ulicy Tarnobrzeskiej","Praga-Południe","ulica","Tarnobrzeska"
"ulica Tarnogórska","ul. Tarnogórska","ulicy Tarnogórskiej","Targówek","ulica","Tarnogórska"
"ulica Tarnowiecka","ul. Tarnowiecka","ulicy Tarnowieckiej","Praga-Południe","ulica","Tarnowiecka"
"Rondo Marii Tarnowskiej","Rondo M. Tarnowskiej","Ronda Marii Tarnowskiej","Włochy","Rondo","Rondo M. Tarnowskiej"
"ulica Tasznikowa","ul. Tasznikowa","ulicy Tasznikowej","Wawer","ulica","Tasznikowa"
"ulica Władysława Tatarkiewicza","ul. W. Tatarkiewicza","ulicy Władysława Tatarkiewicza","Praga-Południe","ulica","W. Tatarkiewicza"
"ulica Tatarska","ul. Tatarska","ulicy Tatarskiej","Wola","ulica","Tatarska"
"ulica Tatrzańska","ul. Tatrzańska","ulicy Tatrzańskiej","Mokotów","ulica","Tatrzańska"
"ulica Tawerny","ul. Tawerny","ulicy Tawerny","Mokotów","ulica","Tawerny"
"ulica Tawułkowa","ul. Tawułkowa","ulicy Tawułkowej","Wawer","ulica","Tawułkowa"
"ulica Taśmowa","ul. Taśmowa","ulicy Taśmowej","Mokotów","ulica","Taśmowa"
"ulica Czesława Tańskiego","ul. Cz. Tańskiego","ulicy Czesława Tańskiego","Włochy","ulica","Cz. Tańskiego"
"ulica Tczewska","ul. Tczewska","ulicy Tczewskiej","Bielany","ulica","Tczewska"
"Plac Teatralny","pl. Teatralny","Placu Teatralnego","Śródmieście","Plac","pl. Teatralny"
"ulica Techniczna","ul. Techniczna","ulicy Technicznej","Wawer","ulica","Techniczna"
"ulica Techników","ul. Techników","ulicy Techników","Włochy","ulica","Techników"
"ulica Wandy Telakowskiej","ul. W. Telakowskiej","ulicy Wandy Telakowskiej","Śródmieście","ulica","W. Telakowskiej"
"ulica Telefoniczna","ul. Telefoniczna","ulicy Telefonicznej","Bemowo","ulica","Telefoniczna"
"ulica Pála Telekiego","ul. P. Telekiego","ulicy Pála Telekiego","Ursynów","ulica","P. Telekiego"
"ulica Telewizyjna","ul. Telewizyjna","ulicy Telewizyjnej","Bemowo","ulica","Telewizyjna"
"ulica Leonida Teligi","ul. L. Teligi","ulicy Leonida Teligi","Ursynów","ulica","L. Teligi"
"ulica Telimeny","ul. Telimeny","ulicy Telimeny","Wawer","ulica","Telimeny"
"ulica Tenisowa","ul. Tenisowa","ulicy Tenisowej","Mokotów","ulica","Tenisowa"
"ulica abp. Józefa Teodorowicza","ul. abp. J. Teodorowicza","ulicy abp. Józefa Teodorowicza","Wilanów","ulica","abp. J. Teodorowicza"
"ulica Teodozji","ul. Teodozji","ulicy Teodozji","Wesoła","ulica","Teodozji"
"ulica Teresińska","ul. Teresińska","ulicy Teresińskiej","Mokotów","ulica","Teresińska"
"ulica Terespolska","ul. Terespolska","ulicy Terespolskiej","Praga-Południe","ulica","Terespolska"
"ulica św. Teresy","ul. św. Teresy","ulicy św. Teresy","Śródmieście","ulica","św. Teresy"
"ulica Włodzimierza Tetmajera","ul. W. Tetmajera","ulicy Włodzimierza Tetmajera","Białołęka","ulica","W. Tetmajera"
"ulica gen. Wiktora Thomméego","ul. gen. W. Thomméego","ulicy gen. Wiktora Thomméego","Bemowo","ulica","gen. W. Thomméego"
"ulica Tkaczy","ul. Tkaczy","ulicy Tkaczy","Bemowo","ulica","Tkaczy"
"ulica Teodora Toeplitza","ul. T. Toeplitza","ulicy Teodora Toeplitza","Żoliborz","ulica","T. Toeplitza"
"ulica Tokarska","ul. Tokarska","ulicy Tokarskiej","Wawer","ulica","Tokarska"
"ulica Wacława Tokarza","ul. W. Tokarza","ulicy Wacława Tokarza","Targówek","ulica","W. Tokarza"
"ulica gen. Michała Tokarzewskiego-Karaszewicza","ul. gen. M. Tokarzewskiego-Karaszewicza","ulicy gen. Michała Tokarzewskiego-Karaszewicza","Śródmieście","ulica","gen. M. Tokarzewskiego-Karaszewicza"
"ulica Tomaszowska","ul. Tomaszowska","ulicy Tomaszowskiej","Wawer","ulica","Tomaszowska"
"ulica Tomcia Palucha","ul. Tomcia Palucha","ulicy Tomcia Palucha","Ursus","ulica","Tomcia Palucha"
"ulica Tomnicka","ul. Tomnicka","ulicy Tomnickiej","Włochy","ulica","Tomnicka"
"ulica Topazowa","ul. Topazowa","ulicy Topazowej","Targówek","ulica","Topazowa"
"ulica Topazowa","ul. Topazowa","ulicy Topazowej","Wesoła","ulica","Topazowa"
"ulica Topiel","ul. Topiel","ulicy Topiel","Śródmieście","ulica","Topiel"
"ulica Topograficzna","ul. Topograficzna","ulicy Topograficznej","Rembertów","ulica","Topograficzna"
"ulica Topolowa","ul. Topolowa","ulicy Topolowej","Białołęka","ulica","Topolowa"
"ulica Topolowa","ul. Topolowa","ulicy Topolowej","Wesoła","ulica","Topolowa"
"ulica Toporczyków","ul. Toporczyków","ulicy Toporczyków","Białołęka","ulica","Toporczyków"
"ulica Toporowska","ul. Toporowska","ulicy Toporowskiej","Rembertów","ulica","Toporowska"
"ulica Torfowa","ul. Torfowa","ulicy Torfowej","Targówek","ulica","Torfowa"
"ulica Torfowa","ul. Torfowa","ulicy Torfowej","Wesoła","ulica","Torfowa"
"ulica Torowa","ul. Torowa","ulicy Torowej","Wawer,Rembertów","ulica","Torowa"
"ulica Toruńska","ul. Toruńska","ulicy Toruńskiej","Praga-Północ,Targówek,Białołęka","ulica","Toruńska"
"ulica Towarowa","ul. Towarowa","ulicy Towarowej","Wola,Ochota","ulica","Towarowa"
"ulica Lwa Tołstoja","ul. L. Tołstoja","ulicy Lwa Tołstoja","Bielany","ulica","L. Tołstoja"
"ulica Stanisława Tołwińskiego","ul. S. Tołwińskiego","ulicy Stanisława Tołwińskiego","Żoliborz","ulica","S. Tołwińskiego"
"ulica Traczy","ul. Traczy","ulicy Traczy","Rembertów","ulica","Traczy"
"Skwer Duśki Trafankowskiej","Skwer D. Trafankowskiej","Skweru Duśki Trafankowskiej","Śródmieście","Skwer","Skwer D. Trafankowskiej"
"ulica Traktorzystki","ul. Traktorzystki","ulicy Traktorzystki","Wola","ulica","Traktorzystki"
"ulica Traktorzystów","ul. Traktorzystów","ulicy Traktorzystów","Ursus","ulica","Traktorzystów"
"ulica Tramblanki","ul. Tramblanki","ulicy Tramblanki","Ursynów","ulica","Tramblanki"
"ulica Tramwajowa","ul. Tramwajowa","ulicy Tramwajowej","Wesoła","ulica","Tramwajowa"
"ulica Transportowców","ul. Transportowców","ulicy Transportowców","Ursynów","ulica","Transportowców"
"ulica Trapez","ul. Trapez","ulicy Trapez","Włochy","ulica","Trapez"
"ulica Traszki","ul. Traszki","ulicy Traszki","Białołęka","ulica","Traszki"
"ulica Romualda Traugutta","ul. R. Traugutta","ulicy Romualda Traugutta","Śródmieście","ulica","R. Traugutta"
"ulica Trawiasta","ul. Trawiasta","ulicy Trawiastej","Wawer","ulica","Trawiasta"
"ulica Trele","ul. Trele","ulicy Trele","Ursynów","ulica","Trele"
"ulica Trembowelska","ul. Trembowelska","ulicy Trembowelskiej","Praga-Południe","ulica","Trembowelska"
"ulica Bronisława Trentowskiego","ul. B. Trentowskiego","ulicy Bronisława Trentowskiego","Żoliborz","ulica","B. Trentowskiego"
"ulica Trenów","ul. Trenów","ulicy Trenów","Bielany","ulica","Trenów"
"ulica Tristana","ul. Tristana","ulicy Tristana","Targówek","ulica","Tristana"
"ulica Trocinowa","ul. Trocinowa","ulicy Trocinowej","Wawer","ulica","Trocinowa"
"ulica Trocka","ul. Trocka","ulicy Trockiej","Targówek","ulica","Trocka"
"ulica Trojaka","ul. Trojaka","ulicy Trojaka","Żoliborz","ulica","Trojaka"
"ulica Trojanowska","ul. Trojanowska","ulicy Trojanowskiej","Targówek","ulica","Trojanowska"
"ulica Trojańska","ul. Trojańska","ulicy Trojańskiej","Włochy","ulica","Trojańska"
"ulica Trombity","ul. Trombity","ulicy Trombity","Ursynów","ulica","Trombity"
"ulica Trufle","ul. Trufle","ulicy Trufle","Ursynów","ulica","Trufle"
"ulica Truskawiecka","ul. Truskawiecka","ulicy Truskawieckiej","Mokotów","ulica","Truskawiecka"
"ulica Truskawkowa","ul. Truskawkowa","ulicy Truskawkowej","Białołęka","ulica","Truskawkowa"
"ulica Truskolaska","ul. Truskolaska","ulicy Truskolaskiej","Wawer","ulica","Truskolaska"
"ulica Trybunalska","ul. Trybunalska","ulicy Trybunalskiej","Ochota","ulica","Trybunalska"
"ulica Trylogii","ul. Trylogii","ulicy Trylogii","Bielany","ulica","Trylogii"
"Plac Trynopolski","pl. Trynopolski","Placu Trynopolskiego","Targówek","Plac","pl. Trynopolski"
"ulica Trzcinowa","ul. Trzcinowa","ulicy Trzcinowej","Włochy","ulica","Trzcinowa"
"ulica Trzebnicka","ul. Trzebnicka","ulicy Trzebnickiej","Wawer","ulica","Trzebnicka"
"ulica Trzech Budrysów","ul. Trzech Budrysów","ulicy Trzech Budrysów","Ochota","ulica","Trzech Budrysów"
"Plac Trzech Krzyży","pl. Trzech Krzyży","Placu Trzech Krzyży","Śródmieście","Plac","pl. Trzech Krzyży"
"ulica Trzos","ul. Trzos","ulicy Trzos","Włochy","ulica","Trzos"
"ulica Trzykrotki","ul. Trzykrotki","ulicy Trzykrotki","Wawer","ulica","Trzykrotki"
"ulica Mikołaja Trąby","ul. M. Trąby","ulicy Mikołaja Trąby","Białołęka","ulica","M. Trąby"
"ulica Trębacka","ul. Trębacka","ulicy Trębackiej","Śródmieście","ulica","Trębacka"
"ulica Trójpolowa","ul. Trójpolowa","ulicy Trójpolowej","Wilanów","ulica","Trójpolowa"
"ulica ks. Zygmunta Trószyńskiego","ul. ks. Z. Trószyńskiego","ulicy ks. Zygmunta Trószyńskiego","Żoliborz","ulica","ks. Z. Trószyńskiego"
"ulica Tuberozy","ul. Tuberozy","ulicy Tuberozy","Wawer","ulica","Tuberozy"
"ulica Tuchlińska","ul. Tuchlińska","ulicy Tuchlińskiej","Mokotów","ulica","Tuchlińska"
"ulica Tucholska","ul. Tucholska","ulicy Tucholskiej","Żoliborz","ulica","Tucholska"
"ulica Tukana","ul. Tukana","ulicy Tukana","Ursynów","ulica","Tukana"
"ulica Tulipanowa","ul. Tulipanowa","ulicy Tulipanowej","Wawer","ulica","Tulipanowa"
"ulica Tumska","ul. Tumska","ulicy Tumskiej","Włochy","ulica","Tumska"
"ulica Tunelowa","ul. Tunelowa","ulicy Tunelowej","Wola","ulica","Tunelowa"
"ulica Turbinowa","ul. Turbinowa","ulicy Turbinowej","Praga-Południe","ulica","Turbinowa"
"ulica Turecka","ul. Turecka","ulicy Tureckiej","Mokotów","ulica","Turecka"
"ulica Turkawki","ul. Turkawki","ulicy Turkawki","Ursynów","ulica","Turkawki"
"ulica Turkusowa","ul. Turkusowa","ulicy Turkusowej","Wawer","ulica","Turkusowa"
"ulica Turkusowa","ul. Turkusowa","ulicy Turkusowej","Wesoła","ulica","Turkusowa"
"ulica Turmoncka","ul. Turmoncka","ulicy Turmonckiej","Targówek","ulica","Turmoncka"
"ulica Turniejowa","ul. Turniejowa","ulicy Turniejowej","Wawer","ulica","Turniejowa"
"ulica Turoszowska","ul. Turoszowska","ulicy Turoszowskiej","Białołęka","ulica","Turoszowska"
"Rondo Jerzego Turowicza","Rondo J. Turowicza","Ronda Jerzego Turowicza","Żoliborz","Rondo","Rondo J. Turowicza"
"ulica Turystyczna","ul. Turystyczna","ulicy Turystycznej","Mokotów","ulica","Turystyczna"
"ulica Juliana Tuwima","ul. J. Tuwima","ulicy Juliana Tuwima","Śródmieście","ulica","J. Tuwima"
"ulica Juliana Tuwima","ul. J. Tuwima","ulicy Juliana Tuwima","Wesoła","ulica","J. Tuwima"
"ulica Tuzinowa","ul. Tuzinowa","ulicy Tuzinowej","Wilanów,Mokotów","ulica","Tuzinowa"
"ulica Tułowicka","ul. Tułowicka","ulicy Tułowickiej","Bielany","ulica","Tułowicka"
"ulica Tużycka","ul. Tużycka","ulicy Tużyckiej","Targówek","ulica","Tużycka"
"ulica Twarda","ul. Twarda","ulicy Twardej","Wola,Śródmieście","ulica","Twarda"
"ulica Twardowska","ul. Twardowska","ulicy Twardowskiej","Bielany","ulica","Twardowska"
"Skwer ks. Jana Twardowskiego","Skwer ks. J. Twardowskiego","Skweru ks. Jana Twardowskiego","Śródmieście","Skwer","Skwer ks. J. Twardowskiego"
"ulica Samuela Twardowskiego","ul. S. Twardowskiego","ulicy Samuela Twardowskiego","Żoliborz","ulica","S. Twardowskiego"
"ulica Twórcza","ul. Twórcza","ulicy Twórczej","Białołęka","ulica","Twórcza"
"Rondo Tybetu","Rondo Tybetu","Ronda Tybetu","Wola","Rondo","Rondo Tybetu"
"ulica Tykocińska","ul. Tykocińska","ulicy Tykocińskiej","Targówek","ulica","Tykocińska"
"ulica Tylna","ul. Tylna","ulicy Tylnej","Wola","ulica","Tylna"
"ulica Tylżycka","ul. Tylżycka","ulicy Tylżyckiej","Żoliborz","ulica","Tylżycka"
"ulica Tymiankowa","ul. Tymiankowa","ulicy Tymiankowej","Targówek","ulica","Tymiankowa"
"ulica Tymiankowa","ul. Tymiankowa","ulicy Tymiankowej","Wesoła","ulica","Tymiankowa"
"ulica Tymotki","ul. Tymotki","ulicy Tymotki","Białołęka","ulica","Tymotki"
"ulica Tyniecka","ul. Tyniecka","ulicy Tynieckiej","Mokotów","ulica","Tyniecka"
"ulica Tynkarska","ul. Tynkarska","ulicy Tynkarskiej","Włochy","ulica","Tynkarska"
"ulica Tyrreńska","ul. Tyrreńska","ulicy Tyrreńskiej","Mokotów","ulica","Tyrreńska"
"Aleja Tysiąclecia","al. Tysiąclecia","Alei Tysiąclecia","Praga-Północ","Aleja","al. Tysiąclecia"
"ulica Eustachego Tyszkiewicza","ul. E. Tyszkiewicza","ulicy Eustachego Tyszkiewicza","Wola","ulica","E. Tyszkiewicza"
"ulica Tyszowiecka","ul. Tyszowiecka","ulicy Tyszowieckiej","Wawer","ulica","Tyszowiecka"
"ulica Tytoniowa","ul. Tytoniowa","ulicy Tytoniowej","Wawer","ulica","Tytoniowa"
"ulica Tytułowa","ul. Tytułowa","ulicy Tytułowej","Bielany","ulica","Tytułowa"
"ulica Tyśmienicka","ul. Tyśmienicka","ulicy Tyśmienickiej","Praga-Południe","ulica","Tyśmienicka"
"ulica Tłomackie","ul. Tłomackie","ulicy Tłomackie","Śródmieście","ulica","Tłomackie"
"ulica Tłuchowska","ul. Tłuchowska","ulicy Tłuchowskiej","Białołęka","ulica","Tłuchowska"
"ulica Tęczowa","ul. Tęczowa","ulicy Tęczowej","Wawer","ulica","Tęczowa"
"ulica Tęczowa","ul. Tęczowa","ulicy Tęczowej","Wesoła","ulica","Tęczowa"
"Plac UNICEF","pl. UNICEF","Placu UNICEF","Wawer","Plac","pl. UNICEF"
"ulica Uczniowska","ul. Uczniowska","ulicy Uczniowskiej","Białołęka","ulica","Uczniowska"
"ulica Uczonych","ul. Uczonych","ulicy Uczonych","Ursynów","ulica","Uczonych"
"ulica Ugorek","ul. Ugorek","ulicy Ugorek","Białołęka","ulica","Ugorek"
"ulica Uhrocie","ul. Uhrocie","ulicy Uhrocie","Ursynów","ulica","Uhrocie"
"Aleje Ujazdowskie","Al. Ujazdowskie","Alej Ujazdowskich","Śródmieście","Aleje","al. Ujazdowskie"
"ulica Ukośna","ul. Ukośna","ulicy Ukośnej","Wawer","ulica","Ukośna"
"ulica Ukryta","ul. Ukryta","ulicy Ukrytej","Mokotów","ulica","Ukryta"
"ulica Ulanowska","ul. Ulanowska","ulicy Ulanowskiej","Wawer","ulica","Ulanowska"
"ulica Ulrychowska","ul. Ulrychowska","ulicy Ulrychowskiej","Wola","ulica","Ulrychowska"
"ulica Ulubiona","ul. Ulubiona","ulicy Ulubionej","Wilanów","ulica","Ulubiona"
"ulica Władysława Umińskiego","ul. W. Umińskiego","ulicy Władysława Umińskiego","Praga-Południe","ulica","W. Umińskiego"
"ulica Umowna","ul. Umowna","ulicy Umownej","Wawer","ulica","Umowna"
"ulica Antoniego Uniechowskiego","ul. A. Uniechowskiego","ulicy Antoniego Uniechowskiego","Mokotów","ulica","A. Uniechowskiego"
"ulica Uniejowska","ul. Uniejowska","ulicy Uniejowskiej","Bemowo","ulica","Uniejowska"
